"","bx1....rep.0..times...100.","bx2....rep.0..times...100.","bx3....rep.0..times...100.","bz1....rep.0..times...100.","mod1_est.bx1....rep.0..times...100.","mod1_est.bx2....rep.0..times...100.","mod1_est.bx3....rep.0..times...100.","mod1_est.bz1....rep.0..times...100.","mod2_est.bx1....rep.0..times...100.","mod2_est.bx2....rep.0..times...100.","mod2_est.bx3....rep.0..times...100.","mod2_est.bz1....rep.0..times...100.","mod3_est.bx1....rep.0..times...100.","mod3_est.bx3....rep.0..times...100.","mod3_est.bx3....rep.0..times...100..1","mod3_est.bz1....rep.0..times...100.","mod4_est.bx1....rep.0..times...100.","mod4_est.bx2....rep.0..times...100.","mod4_est.bx3....rep.0..times...100.","mod4_est.bz1....rep.0..times...100.","mod5_est.bx1....rep.0..times...100.","mod5_est.bx2....rep.0..times...100.","mod5_est.bx3....rep.0..times...100.","mod5_est.bz1....rep.0..times...100.","bx1","bx2","bx3","bz1","mod1_est.bx1","mod1_est.bx2","mod1_est.bx3","mod1_est.bz1","mod2_est.bx1","mod2_est.bx2","mod2_est.bx3","mod2_est.bz1","mod3_est.bx1","mod3_est.bx2","mod3_est.bx3","mod3_est.bz1","mod4_est.bx1","mod4_est.bx2","mod4_est.bx3","mod4_est.bz1","mod5_est.bx1","mod5_est.bx2","mod5_est.bx3","mod5_est.bz1"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249949282028528,0.0394917232775871,0.250159299909769,0.740645540215928,0.728974378997115,0.176736543134247,0.0297320734451976,0.156150841244397,0.462794377161943,0.0511528611685883,0.208897095022041,0.69244003868787,0.461965516841801,0.0513137007748363,0.20984297790335,0.694805059068883,0.258796550113682,0.0406938230909299,0.250820401438768,0.722866798863269,0.262439259242102,0.0401483225638111,0.172123201007938,0.710544010439175
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107116706133113,0.0833589099643778,0.0468085457444873,0.770573420248269,0.763387278983985,0.0600258487479217,0.0386544765682906,0.0337021045246003,0.0521859606275596,0.0791942427334357,0.0362044177121031,0.263650329171363,0.0524239294218043,0.081356924830479,0.036770111557673,0.259614530496079,0.0526441007411515,0.0452253048958007,0.0662764709879293,0.576446353585366,0.0550518249219222,0.0572498612434309,0.0486368549600653,0.688522436317846
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416488336773566,0.0682921930239091,0.0833013702597318,0.745610432282575,0.776987419222548,0.0287707455772257,0.0435614283513807,0.0487727223355927,0.0600437620232219,0.0735468342466149,0.0691482258004463,0.857079773033464,0.0594311918111806,0.0738340899243886,0.0685854680834136,0.841777076880375,0.0425698661199655,0.0703192048508531,0.0736272172210491,0.932082753542668,0.040169303238606,0.0984588198134394,0.077918168854827,0.822175075861612
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187478097417819,0.0937986481948489,0.094037105393116,0.716862074580687,0.739628329922445,0.125017749496095,0.0481080279655025,0.0695717769189729,0.0951637930886395,0.106540712436638,0.0959973133823296,0.844797634447894,0.0957494218750071,0.105686115867736,0.0963158378215184,0.854918235099593,0.124735556762974,0.0289433459101119,0.134501586819243,1.17605121516913,0.152786621005675,0.0384430358713854,0.119214917586603,0.861486088362337
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0832449696654451,0.0375346845703862,0.0502026065059292,0.771707170926117,0.768076837050422,0.0605922538791715,0.0250343885822598,0.0415284703657272,0.156767768801162,0.068444022988599,0.074206021550378,0.755033331726525,0.157758970359223,0.0692285297203418,0.0746980339105704,0.770986311354328,0.101664675279767,0.0258325648778956,0.049034190902937,0.721791120407574,0.102430353230709,0.0279817113818664,0.0487025250104497,0.766956863279291
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0577263745502692,0.107216803840691,0.0440611219767724,0.754813958635615,0.725712630776282,0.0289316407484097,0.0588448814732077,0.032522640003116,-0.00591989596301515,0.0823455310366666,0.0562821318120258,1.00785365688156,-0.00787654125039763,0.0821367297300339,0.0556910922845116,1.00340557318769,0.0581546820713747,0.054450063421208,0.0531472610724734,0.775911892827261,0.040247977591771,0.0721794563561888,0.0495559297371082,0.725349009391921
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249896654756337,0.150015343927455,0.0374523657743756,0.741851030377899,0.790231424835989,0.115162343951353,0.11145181299232,0.0176569791918789,0.22418056060894,0.214440598492272,0.0613031900211318,0.861420202673001,0.217098997786199,0.213969486718862,0.0611690364884185,0.86548745110873,0.378014028272422,0.182390021396512,0.0359346565733175,0.866737532851309,0.31046726336452,0.188163819476127,0.0399990509226879,0.818050661958571
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374939694152237,0.0441647219370426,0.187623719195622,0.755622776303157,0.759479001735862,0.289680820274861,0.026059994529987,0.074922047766635,0.338223178055727,0.0309961865732996,0.245043468770211,1.27151880438064,0.332857762880226,0.0295812713689867,0.23462666968289,1.27574705592159,0.265929572032601,0.0219598085852697,0.154766773137674,0.617738346351786,0.264838716471137,0.0473466901173239,0.234777910408566,0.799520120054765
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416955174020826,0.187409367579035,0.751258051213194,0.7660998552822,0.769255693493509,0.0229427721792009,0.143240846793489,0.410421367459043,0.0689242371408635,0.147629729104054,0.14015052977071,0.133986350744346,0.068374962127197,0.147573575633935,0.132054205202978,0.141952384709892,0.0593129080682534,0.179370355346156,0.215755400625884,0.587978144197374,0.0630668155615694,0.177591656919866,0.389207644119312,0.778505129416619
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535926476035165,0.150036874558301,0.062562054402614,0.75680697762609,0.707613548326612,0.0372851957078439,0.0898634763289185,0.0423780490525143,0.0736691347149356,0.124199028559591,0.0441689481993617,0.740085615985997,0.0736985037102159,0.122996221051566,0.0455116261843691,0.749692665807607,0.0658788006933119,0.121534085051994,0.0566231950546747,0.746291296752146,0.0689770578237554,0.134267237116901,0.0564946125531837,0.679521353918569
